Y,LandArea,PercentPopYoung,PercentPop65,NumPhysicians,NumHospitalBeds,PercentHSGrad,PercentCollDeg,PercentBelowPov,PercentUnemploy,PerCapitaIncome,TotalPIncome
0.04739,539,35.8,8.1,696,573,86.7,34,5,4.4,19940,2627
0.06101,1323,26.8,12,246,768,69,14.6,18.6,7.1,14615,1923
0.09525,683,28.7,10.6,121,276,67.5,16.9,7.6,5.5,16713,2198
0.03174,521,26.3,8.9,133,261,85.1,24.9,2.5,6.8,24405,3196
0.05373,452,25.5,14,140,655,73.5,11.7,10.3,7.5,16018,2093
0.06141,500,42.3,9.5,232,635,85.2,30.7,6.8,3.2,15847,2070
0.03196,526,23.7,17,213,654,75,10.5,11,9,14779,1929
0.05949,1184,37,10.5,171,588,84.7,29,5.9,4.6,18961,2449
0.04014,418,26.4,9.8,170,379,82.4,18.5,4.6,4.5,17566,2265
0.01799,410,33.9,9,164,173,84.7,29.2,2.7,5.9,21944,2824
0.0138,687,26.2,11.8,101,192,76.4,13,8.3,6.3,16412,2106
0.06616,273,27.5,12.6,140,334,75.1,12.7,7.6,6.4,17338,2222
0.0707,2120,28.8,12.5,203,214,83.2,22,7.4,6.3,16002,2045
0.08634,764,27.7,12,178,478,74.7,15.7,11.2,8,14814,1881
0.05662,552,26.9,12,78,221,64.2,10,7.3,5.9,15079,1910
0.07977,497,25,12.9,144,463,73.5,11.6,8.4,9.4,16191,2042
0.05152,1712,23,11.8,147,163,85.9,20.8,5.8,6.1,19250,2425
0.05625,809,29.7,11.6,376,912,83.1,21.3,5.4,2.5,18526,2294
0.04136,1108,45,9,178,270,83.6,32.3,6.2,6.1,15476,1916
0.0314,649,23.9,13.2,98,297,78.6,13.6,7.1,7.4,18008,2227
0.0343,449,26.6,10.2,142,123,78.5,19.6,2.5,5.7,22002,2714
0.0864,2389,24.1,15.2,259,555,73.9,14,16.7,7,14197,1747
0.10727,628,29.5,12.8,243,457,75.1,16.5,12.5,6.8,17119,2095
0.00563,422,24.5,9.7,125,226,82.4,18,4.1,5.8,18892,2312
0.08203,586,49.4,6.7,170,279,79.8,35.8,14.9,3.6,12641,1540
0.03582,953,29.8,10.7,79,269,74.7,12.9,8.1,10,14834,1806
0.03155,772,25.5,14.4,136,296,69.4,12.4,5.7,6.7,16281,1971
0.02777,672,24.5,17.2,150,653,75.1,13.6,10.1,7.2,15177,1836
0.06835,1073,26.7,11.4,128,191,70.7,17.2,11,4.9,17898,2165
0.07226,4028,22.5,12.6,182,391,77.7,18.5,10.9,4,16728,2013
0.11892,199,29,12.5,297,554,78.1,21.2,9.9,5.9,17119,2059
0.03325,935,27.7,12.1,237,368,83.2,25.4,3.6,7.1,20600,2472
0.01064,393,32.9,12.7,217,494,74.5,16.5,10.3,6.1,15697,1878
0.06785,916,30.7,12,204,467,75.4,20.7,11.2,5.9,16021,1917
0.05737,3573,27.5,12.3,207,311,80.5,20,12.8,8.8,16138,1922
0.14643,901,27.1,9.3,153,389,66.9,11.4,16.6,6.6,14766,1756
0.04101,1345,33.6,10.5,199,661,78.3,17.5,7.3,5.4,14757,1753
0.03826,1235,25.4,15.1,232,668,74.5,12.3,8.4,8,15778,1873
0.06072,619,33.1,8.4,133,215,73.9,18.7,7.6,5.4,15501,1838
0.0683,400,27.2,11.9,179,464,66.7,14.2,4.8,6.4,17396,2060
0.06103,581,24.1,14.5,171,725,76.2,14.8,9.8,8.9,18021,2112
0.06275,5370,24.4,13.7,61,309,65.5,8.2,18.7,7.9,11396,1326
0.04901,609,28.8,12.4,133,486,67.4,14.2,11.7,7.3,13776,1598
0.04184,868,26.1,13.4,241,497,78.9,18.1,7.3,6.8,17131,1986
0.0376,568,25.3,8.2,68,93,85.6,19.6,3,8.1,21153,2446
0.03655,1545,25.9,12.7,172,254,75.9,13.5,5.5,5.9,16305,1882
0.04777,727,25.9,9.4,170,346,74.4,14.4,14,7.1,13475,1553
0.08421,799,26.2,11.2,211,731,64.3,14.8,15.9,5.9,14961,1711
0.02919,362,25.3,15,162,196,70,11.8,5.2,5.9,16500,1877
0.03879,2635,25.6,12.4,262,554,83.7,21.5,9,5.3,17272,1959
0.06122,950,32,11.2,208,651,73.2,20,9.8,3.7,14736,1671
0.03759,617,34.5,10.2,128,124,83.8,21.9,5,6.6,17522,1985
0.06249,1703,25.1,10.1,142,278,83.9,23.3,8.9,6.8,17332,1951
0.05456,685,40.9,8.4,746,1023,84.8,36.5,9.3,3.2,17175,1930
0.03851,2686,31.2,12.1,132,378,73.1,15.1,12.8,9.8,12704,1423
0.04849,444,25.4,13.4,101,415,74,11,10.2,9.2,16499,1843
0.05979,1069,34.5,8.7,127,347,81.1,18.4,13.3,6.6,13228,1475
0.08537,15,38.3,10.3,652,662,86.9,48.5,4.7,4.6,31699,3524
0.05846,591,29.7,10.3,123,193,73.1,15,8.7,7.6,14946,1659
0.03741,694,16.6,33.8,183,632,75.7,13.4,5.2,7.2,16362,1816
0.03064,1272,32.7,10.9,124,336,76.4,13.6,9.5,11,15205,1687
0.05056,754,24.5,16.5,345,1019,80.7,22.3,4.6,5.9,22668,2511
0.05233,511,26,15.2,114,244,66,11.7,6.8,5.4,15691,1736
0.03838,333,31,12.3,162,241,82.8,29.1,3.7,6.7,19449,2140
0.04734,405,26.2,13.4,168,560,76.1,11.4,10.4,7.3,16542,1816
0.08042,4175,25.5,10.2,82,221,53.2,9.7,20.8,21.3,14523,1587
0.01657,394,45.8,8.6,172,285,82.1,32.9,9.5,3.7,14266,1555
0.01699,398,25.1,8.2,257,122,88.7,36.2,2.6,2.8,25681,2798
0.00898,533,23.4,14.9,80,485,71.8,8.5,13,6.7,12597,1364
0.04152,431,27.3,14.8,132,340,67.9,14.6,6,4.5,17306,1873
0.04603,652,35.4,9.9,496,583,71,21.9,15.5,5.5,15852,1711
0.02068,430,25.6,9.5,184,182,85.9,34.6,1.8,4.1,30255,3261
0.09665,1322,27.1,13.9,98,291,73.7,11.2,6.9,6.7,16451,1772
0.03952,8124,18.3,23.8,114,159,78.9,17.7,9.8,5.4,13681,1474
0.06021,598,26,13.1,149,519,73.9,11.7,7.8,5.8,16655,1783
0.02982,1135,23.8,17.2,104,504,73.1,10.5,8.7,9.6,16119,1723
0.05414,5514,27.4,13.8,118,197,64.9,12.7,15.4,17.8,11490,1228
0.07546,900,26.8,9,139,333,76.8,26.4,11.5,5.4,19345,2062
0.0294,788,27.1,12.2,69,145,62,9.1,6.5,4.8,14721,1568
0.0431,653,29.3,10,1814,1437,88,29.5,4.5,3.3,20515,2184
0.03435,403,30.2,15.1,179,576,76,18.1,10.7,5,15036,1595
0.0456,601,26.3,8.5,164,277,81.2,17.9,5.4,5.9,16029,1699
0.0402,470,27.9,13.4,198,527,71.8,12.6,8.7,9.7,16154,1700
0.04318,949,26.7,10.7,83,281,57,11,20.7,8.9,10849,1141
0.09181,274,26.4,13.3,166,420,75.8,17.7,13.4,8.2,16775,1761
0.04682,553,29.7,10.2,113,263,71.2,12.7,11.9,7.3,13350,1397
0.03651,369,34.8,10.7,139,237,79.8,21.7,5.1,6.5,17182,1791
0.04433,514,25.4,14.6,114,421,77.4,13.8,4.5,5.6,18061,1876
0.00625,506,25.2,11.3,86,195,78.8,15.5,6.8,6.3,16342,1691
0.03285,529,25.5,10.2,96,259,70.6,14.4,7,6.8,16514,1706
0.03401,1766,34.4,9.8,343,643,87.1,26.5,7.3,2.5,16275,1674
0.07138,666,31.6,9.4,88,214,69.8,15,16.9,9.4,11803,1211
0.02689,241,30.4,4.8,39,160,91,25.4,3.5,2.6,16137,1655
0.01397,513,28.5,12.5,123,254,71.1,16.8,6,9.2,18070,1853
0.04449,1390,33.7,7.7,82,180,65.6,9,15,12.8,13907,1411
0.02377,555,26.3,11.6,84,155,73.6,13.9,8.4,5.9,16464,1670
0.05279,461,29.9,6.5,67,104,81,16.2,3.7,4.9,19317,1954
0.04414,478,16.4,30.7,98,290,70.5,9.7,7.9,8.2,13919,1407
0.05081,556,20.4,27.5,193,277,79.7,20.3,5,9.8,27125,2737
0.06537,539,35.7,7.9,87,188,77.9,16.5,10.8,8,13169,1323
0.0713,1159,26.2,11.3,192,182,77,17.8,5.7,3.2,18504,1857
0.04693,582,26.3,11.7,122,464,69.4,15.5,9.4,7.1,16458,1647
